verse_id,lang,chars,gpt_tokens,o200k_tokens,spm_tokens,chars_per_gpt_tok,chars_per_o200k_tok,chars_per_spm_tok
0,sa,102,102,53,23,1.0,1.9245283018867925,4.434782608695652
0,sa_latn,112,68,51,18,1.6470588235294117,2.196078431372549,6.222222222222222
0,hi,141,127,47,29,1.110236220472441,3.0,4.862068965517241
0,en,145,42,40,31,3.4523809523809526,3.625,4.67741935483871
1,sa,98,119,52,21,0.8235294117647058,1.8846153846153846,4.666666666666667
1,sa_latn,104,79,56,16,1.3164556962025316,1.8571428571428572,6.5
1,hi,139,134,50,29,1.037313432835821,2.78,4.793103448275862
1,en,155,34,35,26,4.5588235294117645,4.428571428571429,5.961538461538462
2,sa,89,97,46,19,0.9175257731958762,1.934782608695652,4.684210526315789
2,sa_latn,95,78,52,18,1.2179487179487178,1.8269230769230769,5.277777777777778
2,hi,190,185,64,34,1.027027027027027,2.96875,5.588235294117647
2,en,157,42,41,32,3.738095238095238,3.8292682926829267,4.90625
3,sa,257,272,131,38,0.9448529411764706,1.9618320610687023,6.7631578947368425
3,sa_latn,282,176,140,31,1.6022727272727273,2.0142857142857142,9.096774193548388
3,hi,371,373,143,74,0.9946380697050938,2.5944055944055946,5.013513513513513
3,en,458,128,125,94,3.578125,3.664,4.872340425531915
4,sa,257,272,131,38,0.9448529411764706,1.9618320610687023,6.7631578947368425
4,sa_latn,282,176,140,31,1.6022727272727273,2.0142857142857142,9.096774193548388
4,hi,371,373,143,74,0.9946380697050938,2.5944055944055946,5.013513513513513
4,en,458,128,125,94,3.578125,3.664,4.872340425531915
5,sa,257,272,131,38,0.9448529411764706,1.9618320610687023,6.7631578947368425
5,sa_latn,282,176,140,31,1.6022727272727273,2.0142857142857142,9.096774193548388
5,hi,371,373,143,74,0.9946380697050938,2.5944055944055946,5.013513513513513
5,en,458,128,125,94,3.578125,3.664,4.872340425531915
6,sa,95,92,46,22,1.0326086956521738,2.0652173913043477,4.318181818181818
6,sa_latn,93,56,40,19,1.6607142857142858,2.325,4.894736842105263
6,hi,172,163,51,39,1.0552147239263803,3.372549019607843,4.410256410256411
6,en,138,30,30,29,4.6,4.6,4.758620689655173
7,sa,85,93,46,19,0.9139784946236559,1.8478260869565217,4.473684210526316
7,sa_latn,103,64,48,17,1.609375,2.1458333333333335,6.0588235294117645
7,hi,176,175,63,36,1.0057142857142858,2.7936507936507935,4.888888888888889
7,en,135,40,39,26,3.375,3.4615384615384617,5.1923076923076925
8,sa,85,87,40,21,0.9770114942528736,2.125,4.0476190476190474
8,sa_latn,93,57,44,18,1.631578947368421,2.1136363636363638,5.166666666666667
8,hi,179,174,57,37,1.028735632183908,3.1403508771929824,4.837837837837838
8,en,185,39,39,39,4.743589743589744,4.743589743589744,4.743589743589744
9,sa,91,89,43,16,1.0224719101123596,2.116279069767442,5.6875
9,sa_latn,95,70,48,14,1.3571428571428572,1.9791666666666667,6.785714285714286
9,hi,184,175,60,37,1.0514285714285714,3.066666666666667,4.972972972972973
9,en,172,42,41,32,4.095238095238095,4.195121951219512,5.375
10,sa,79,79,40,20,1.0,1.975,3.95
10,sa_latn,91,55,41,16,1.6545454545454545,2.2195121951219514,5.6875
10,hi,125,123,43,27,1.016260162601626,2.9069767441860463,4.62962962962963
10,en,160,37,37,30,4.324324324324325,4.324324324324325,5.333333333333333
11,sa,91,93,46,21,0.978494623655914,1.9782608695652173,4.333333333333333
11,sa_latn,103,70,47,18,1.4714285714285715,2.1914893617021276,5.722222222222222
11,hi,172,181,67,32,0.9502762430939227,2.5671641791044775,5.375
11,en,160,43,43,34,3.7209302325581395,3.7209302325581395,4.705882352941177
12,sa,81,86,45,22,0.9418604651162791,1.8,3.6818181818181817
12,sa_latn,97,58,46,19,1.6724137931034482,2.108695652173913,5.105263157894737
12,hi,103,112,38,24,0.9196428571428571,2.710526315789474,4.291666666666667
12,en,127,32,31,23,3.96875,4.096774193548387,5.521739130434782
13,sa,95,98,50,24,0.9693877551020408,1.9,3.9583333333333335
13,sa_latn,103,59,45,16,1.7457627118644068,2.2888888888888888,6.4375
13,hi,130,136,51,27,0.9558823529411765,2.549019607843137,4.814814814814815
13,en,136,33,32,27,4.121212121212121,4.25,5.037037037037037
14,sa,86,91,49,22,0.945054945054945,1.7551020408163265,3.909090909090909
14,sa_latn,100,80,57,17,1.25,1.7543859649122806,5.882352941176471
14,hi,147,164,60,31,0.8963414634146342,2.45,4.741935483870968
14,en,182,52,50,34,3.5,3.64,5.352941176470588
15,sa,257,263,133,42,0.9771863117870723,1.9323308270676691,6.119047619047619
15,sa_latn,295,205,149,35,1.4390243902439024,1.9798657718120805,8.428571428571429
15,hi,321,339,128,65,0.9469026548672567,2.5078125,4.938461538461539
15,en,363,113,108,71,3.2123893805309733,3.361111111111111,5.112676056338028
16,sa,257,263,133,42,0.9771863117870723,1.9323308270676691,6.119047619047619
16,sa_latn,295,205,149,35,1.4390243902439024,1.9798657718120805,8.428571428571429
16,hi,321,339,128,65,0.9469026548672567,2.5078125,4.938461538461539
16,en,363,113,108,71,3.2123893805309733,3.361111111111111,5.112676056338028
17,sa,257,263,133,42,0.9771863117870723,1.9323308270676691,6.119047619047619
17,sa_latn,295,205,149,35,1.4390243902439024,1.9798657718120805,8.428571428571429
17,hi,321,339,128,65,0.9469026548672567,2.5078125,4.938461538461539
17,en,363,113,108,71,3.2123893805309733,3.361111111111111,5.112676056338028
18,sa,87,94,43,18,0.925531914893617,2.0232558139534884,4.833333333333333
18,sa_latn,97,66,48,16,1.4696969696969697,2.0208333333333335,6.0625
18,hi,123,121,45,25,1.0165289256198347,2.7333333333333334,4.92
18,en,114,27,27,22,4.222222222222222,4.222222222222222,5.181818181818182
19,sa,133,134,61,30,0.9925373134328358,2.180327868852459,4.433333333333334
19,sa_latn,147,106,72,26,1.3867924528301887,2.0416666666666665,5.653846153846154
19,hi,218,218,79,48,1.0,2.759493670886076,4.541666666666667
19,en,216,57,57,49,3.789473684210526,3.789473684210526,4.408163265306122
20,sa,146,152,70,21,0.9605263157894737,2.085714285714286,6.9523809523809526
20,sa_latn,154,82,64,23,1.8780487804878048,2.40625,6.695652173913044
20,hi,198,194,60,43,1.0206185567010309,3.3,4.604651162790698
20,en,177,44,44,39,4.0227272727272725,4.0227272727272725,4.538461538461538
21,sa,146,152,70,21,0.9605263157894737,2.085714285714286,6.9523809523809526
21,sa_latn,154,82,64,23,1.8780487804878048,2.40625,6.695652173913044
21,hi,198,194,60,43,1.0206185567010309,3.3,4.604651162790698
21,en,177,44,44,39,4.0227272727272725,4.0227272727272725,4.538461538461538
22,sa,98,95,44,19,1.0315789473684212,2.227272727272727,5.157894736842105
22,sa_latn,99,68,45,20,1.4558823529411764,2.2,4.95
22,hi,143,138,41,29,1.036231884057971,3.4878048780487805,4.931034482758621
22,en,125,31,31,28,4.032258064516129,4.032258064516129,4.464285714285714
23,sa,93,99,46,18,0.9393939393939394,2.0217391304347827,5.166666666666667
23,sa_latn,101,58,48,14,1.7413793103448276,2.1041666666666665,7.214285714285714
23,hi,185,188,59,41,0.9840425531914894,3.135593220338983,4.512195121951219
23,en,162,39,40,30,4.153846153846154,4.05,5.4
24,sa,87,87,41,20,1.0,2.1219512195121952,4.35
24,sa_latn,96,63,41,20,1.5238095238095237,2.341463414634146,4.8
24,hi,122,119,41,26,1.0252100840336134,2.975609756097561,4.6923076923076925
24,en,129,36,36,27,3.5833333333333335,3.5833333333333335,4.777777777777778
25,sa,140,145,76,29,0.9655172413793104,1.8421052631578947,4.827586206896552
25,sa_latn,155,99,74,28,1.5656565656565657,2.0945945945945947,5.535714285714286
25,hi,186,186,74,44,1.0,2.5135135135135136,4.2272727272727275
25,en,194,50,49,45,3.88,3.9591836734693877,4.311111111111111
26,sa,91,90,42,18,1.011111111111111,2.1666666666666665,5.055555555555555
26,sa_latn,95,62,45,17,1.532258064516129,2.111111111111111,5.588235294117647
26,hi,133,134,48,29,0.9925373134328358,2.7708333333333335,4.586206896551724
26,en,146,32,31,29,4.5625,4.709677419354839,5.0344827586206895
27,sa,105,104,49,20,1.0096153846153846,2.142857142857143,5.25
27,sa_latn,110,82,52,18,1.3414634146341464,2.1153846153846154,6.111111111111111
27,hi,155,152,48,38,1.019736842105263,3.2291666666666665,4.078947368421052
27,en,153,37,37,33,4.135135135135135,4.135135135135135,4.636363636363637
28,sa,215,203,104,38,1.0591133004926108,2.0673076923076925,5.657894736842105
28,sa_latn,235,124,101,34,1.8951612903225807,2.3267326732673266,6.911764705882353
28,hi,444,438,142,108,1.0136986301369864,3.1267605633802815,4.111111111111111
28,en,379,105,100,88,3.6095238095238096,3.79,4.306818181818182
29,sa,215,203,104,38,1.0591133004926108,2.0673076923076925,5.657894736842105
29,sa_latn,235,124,101,34,1.8951612903225807,2.3267326732673266,6.911764705882353
29,hi,444,438,142,108,1.0136986301369864,3.1267605633802815,4.111111111111111
29,en,379,105,100,88,3.6095238095238096,3.79,4.306818181818182
30,sa,215,203,104,38,1.0591133004926108,2.0673076923076925,5.657894736842105
30,sa_latn,235,124,101,34,1.8951612903225807,2.3267326732673266,6.911764705882353
30,hi,444,438,142,108,1.0136986301369864,3.1267605633802815,4.111111111111111
30,en,379,105,100,88,3.6095238095238096,3.79,4.306818181818182
31,sa,197,192,84,37,1.0260416666666667,2.3452380952380953,5.324324324324325
31,sa_latn,201,140,94,31,1.4357142857142857,2.1382978723404253,6.483870967741935
