verse_id,lang,segment_type,chars,gpt_tokens,o200k_tokens,gemini_tokens,spm_tokens,chars_per_gpt_tok,chars_per_o200k_tok,chars_per_gemini_tok,chars_per_spm_tok
0,sa,sa_verse,102,102,53,42,23,1.0,1.9245283018867925,2.4285714285714284,4.434782608695652
0,en,en_trans,145,42,40,36,31,3.4523809523809526,3.625,4.027777777777778,4.67741935483871
0,en,en_mean,1617,370,359,336,399,4.370270270270271,4.504178272980502,4.8125,4.052631578947368
0,hi,hi_trans,141,127,47,37,29,1.110236220472441,3.0,3.810810810810811,4.862068965517241
0,hi,hi_mean,1912,1844,577,474,459,1.0368763557483731,3.31369150779896,4.033755274261603,4.16557734204793
1,sa,sa_verse,98,119,52,44,21,0.8235294117647058,1.8846153846153846,2.227272727272727,4.666666666666667
1,en,en_trans,155,34,35,32,26,4.5588235294117645,4.428571428571429,4.84375,5.961538461538462
1,en,en_mean,1250,278,276,262,306,4.496402877697841,4.528985507246377,4.770992366412214,4.084967320261438
1,hi,hi_trans,139,134,50,42,29,1.037313432835821,2.78,3.3095238095238093,4.793103448275862
1,hi,hi_mean,1180,1134,365,317,286,1.0405643738977073,3.232876712328767,3.722397476340694,4.125874125874126
2,sa,sa_verse,89,97,46,39,19,0.9175257731958762,1.934782608695652,2.282051282051282,4.684210526315789
2,en,en_trans,157,42,41,40,32,3.738095238095238,3.8292682926829267,3.925,4.90625
2,en,en_mean,1045,262,261,242,262,3.9885496183206106,4.003831417624521,4.318181818181818,3.9885496183206106
2,hi,hi_trans,190,185,64,48,34,1.027027027027027,2.96875,3.9583333333333335,5.588235294117647
2,hi,hi_mean,1055,1030,336,298,244,1.0242718446601942,3.1398809523809526,3.540268456375839,4.323770491803279
3,sa,sa_verse,257,272,131,107,38,0.9448529411764706,1.9618320610687023,2.4018691588785046,6.7631578947368425
3,en,en_trans,458,128,125,122,94,3.578125,3.664,3.7540983606557377,4.872340425531915
3,en,en_mean,550,116,113,110,139,4.741379310344827,4.867256637168142,5.0,3.9568345323741005
3,hi,hi_trans,371,373,143,116,74,0.9946380697050938,2.5944055944055946,3.1982758620689653,5.013513513513513
3,hi,hi_mean,517,499,158,134,116,1.0360721442885772,3.2721518987341773,3.8582089552238807,4.456896551724138
4,sa,sa_verse,257,272,131,107,38,0.9448529411764706,1.9618320610687023,2.4018691588785046,6.7631578947368425
4,en,en_trans,458,128,125,122,94,3.578125,3.664,3.7540983606557377,4.872340425531915
4,en,en_mean,550,116,113,110,139,4.741379310344827,4.867256637168142,5.0,3.9568345323741005
4,hi,hi_trans,371,373,143,116,74,0.9946380697050938,2.5944055944055946,3.1982758620689653,5.013513513513513
4,hi,hi_mean,517,499,158,134,116,1.0360721442885772,3.2721518987341773,3.8582089552238807,4.456896551724138
5,sa,sa_verse,257,272,131,107,38,0.9448529411764706,1.9618320610687023,2.4018691588785046,6.7631578947368425
5,en,en_trans,458,128,125,122,94,3.578125,3.664,3.7540983606557377,4.872340425531915
5,en,en_mean,550,116,113,110,139,4.741379310344827,4.867256637168142,5.0,3.9568345323741005
5,hi,hi_trans,371,373,143,116,74,0.9946380697050938,2.5944055944055946,3.1982758620689653,5.013513513513513
5,hi,hi_mean,517,499,158,134,116,1.0360721442885772,3.2721518987341773,3.8582089552238807,4.456896551724138
6,sa,sa_verse,95,92,46,36,22,1.0326086956521738,2.0652173913043477,2.638888888888889,4.318181818181818
6,en,en_trans,138,30,30,30,29,4.6,4.6,4.6,4.758620689655173
6,en,en_mean,771,173,175,165,199,4.456647398843931,4.405714285714286,4.672727272727273,3.8743718592964824
6,hi,hi_trans,172,163,51,42,39,1.0552147239263803,3.372549019607843,4.095238095238095,4.410256410256411
6,hi,hi_mean,719,710,241,192,172,1.0126760563380282,2.983402489626556,3.7447916666666665,4.180232558139535
7,sa,sa_verse,85,93,46,37,19,0.9139784946236559,1.8478260869565217,2.2972972972972974,4.473684210526316
7,en,en_trans,135,40,39,38,26,3.375,3.4615384615384617,3.5526315789473686,5.1923076923076925
7,en,en_mean,13,2,2,2,3,6.5,6.5,6.5,4.333333333333333
7,hi,hi_trans,176,175,63,51,36,1.0057142857142858,2.7936507936507935,3.450980392156863,4.888888888888889
7,hi,hi_mean,13,2,2,2,4,6.5,6.5,6.5,3.25
8,sa,sa_verse,85,87,40,35,21,0.9770114942528736,2.125,2.4285714285714284,4.0476190476190474
8,en,en_trans,185,39,39,39,39,4.743589743589744,4.743589743589744,4.743589743589744,4.743589743589744
8,en,en_mean,13,2,2,2,3,6.5,6.5,6.5,4.333333333333333
8,hi,hi_trans,179,174,57,47,37,1.028735632183908,3.1403508771929824,3.8085106382978724,4.837837837837838
8,hi,hi_mean,13,2,2,2,4,6.5,6.5,6.5,3.25
9,sa,sa_verse,91,89,43,40,16,1.0224719101123596,2.116279069767442,2.275,5.6875
9,en,en_trans,172,42,41,40,32,4.095238095238095,4.195121951219512,4.3,5.375
9,en,en_mean,1709,387,383,380,434,4.416020671834626,4.462140992167102,4.497368421052632,3.9377880184331797
9,hi,hi_trans,184,175,60,49,37,1.0514285714285714,3.066666666666667,3.7551020408163267,4.972972972972973
9,hi,hi_mean,1223,1203,388,328,281,1.0166251039068994,3.152061855670103,3.7286585365853657,4.352313167259786
10,sa,sa_verse,79,79,40,34,20,1.0,1.975,2.323529411764706,3.95
10,en,en_trans,160,37,37,35,30,4.324324324324325,4.324324324324325,4.571428571428571,5.333333333333333
10,en,en_mean,313,73,73,67,74,4.287671232876712,4.287671232876712,4.6716417910447765,4.22972972972973
10,hi,hi_trans,125,123,43,36,27,1.016260162601626,2.9069767441860463,3.4722222222222223,4.62962962962963
10,hi,hi_mean,344,333,104,90,80,1.033033033033033,3.3076923076923075,3.8222222222222224,4.3
11,sa,sa_verse,91,93,46,44,21,0.978494623655914,1.9782608695652173,2.0681818181818183,4.333333333333333
11,en,en_trans,160,43,43,41,34,3.7209302325581395,3.7209302325581395,3.902439024390244,4.705882352941177
11,en,en_mean,443,108,109,102,111,4.101851851851852,4.064220183486238,4.3431372549019605,3.990990990990991
